irn,leaid,district,fb_create_date,fb_create_month,fb_create_year,
43588,3904358,"Bellefontaine City SD, Logan",18,9,2018,
48074,3904807,"Benjamin Logan Local SD, Logan",13,9,2018,
48678,3904867,"Brookville Local SD, Montgomery",17,1,2018,
50328,3905032,"Fairbanks Local SD, Union",2,1,2018,
47332,3904733,"Finneytown Local SD, Hamilton",6,2,2018,
50492,3905049,"Frontier Local SD, Washington",8,8,2018,
50278,3905027,"Garaway Local SD, Tuscarawas",7,11,2018,
48942,3904894,"Genoa Area Local SD, Ottawa",16,10,2018,
50161,3905016,"Howland Local SD, Trumbull",22,1,2018,
48322,3904832,"Jackson-Milton Local SD, Mahoning",7,8,2018,
50187,3905018,"Lakeview Local SD, Trumbull",17,9,2018,
46888,3904688,"Liberty Union-Thurston Local, Fairfield",6,6,2018,
45468,3904546,"Loudonville-Perrysville Ex V, Ashland",3,6,2018,
48090,3904809,"Riverside Local SD, Logan",8,2,2018,
46144,3904614,"Ross Local SD, Butler",13,7,2018,
45799,3904579,"Shawnee Local SD, Allen",18,7,2018,
47274,3904727,"Sugarcreek Local SD, Greene",11,7,2018,
48314,3904831,"Canfield Local SD, Mahoning",1,8,2019,
47183,3904718,"Chardon Local SD, Geauga",9,5,2019,
45310,3904531,"Coldwater Ex Vill SD, Mercer",22,11,2019,
49999,3904999,"Coventry Local SD, Summit",26,6,2019,
48801,3904880,"Highland Local SD, Morrow",26,8,2019,
48256,3904825,"Jefferson Local SD, Madison",7,2,2019,
50245,3905024,"La Brae Local SD, Trumbull",15,3,2019,
50203,3905020,"Lordstown Local SD, Trumbull",10,12,2019,
44529,3904452,"North Olmsted City SD, Cuyahoga",2,12,2019,
49478,3904947,"Ontario Local SD, Richland",23,7,2019,
45997,3904599,"St Clairsville-Richland City, Belmont",17,6,2019,
50252,3905025,"Weathersfield Local SD, Trumbull",29,10,2019,
46219,3904621,"West Liberty-Salem Local SD, Champaign",28,1,2019,
43513,3904351,"Ashtabula Area City SD, Ashtabula",4,8,2020,
46383,3904638,"Blanchester Local SD, Clinton",29,6,2020,
43695,3904369,"Cambridge City SD, Guernsey",16,3,2020,
50419,3905041,"Carlisle Local SD, Warren",24,9,2020,
46516,3904651,"Colonel Crawford Local SD, Crawford",16,7,2020,
45245,3904524,"Harrison Hills City SD, Harrison",12,5,2020,
45823,3904582,"Hillsdale Local SD, Ashland",21,7,2020,
48686,3904868,"Jefferson Township Local SD, Montgomery",19,10,2020,
48264,3904826,"Jonathan Alder Local SD, Madison",8,1,2020,
45443,3910007,"Leetonia Ex Vill SD, Columbiana",10,8,2020,
46128,3904612,"Madison Local SD, Butler",3,6,2020,
49452,3904945,"Madison Local SD, Richland",15,4,2020,
50211,3905021,"Maplewood Local SD, Trumbull",13,4,2020,
50229,3905022,"McDonald Local SD, Trumbull",17,3,2020,
48538,3904853,"Southern Local SD, Meigs",3,12,2020,
50468,3905046,"Wayne Local SD, Warren",3,4,2020,
49031,3904903,"Wayne Trace Local SD, Paulding",3,4,2020,
45104,3904510,"Willoughby-Eastlake City SD, Lake",21,4,2020,
